field_1,Codigo,Nombre,Elevacion,Lat,Lon,Norte,Este
"85","26020130",TOTORO,"2427",2.541833330000000,-76.418805559999996,1839391.328777,4619870.152361
"86","26090060",JUNTAS LAS,"1826",3.773222220000000,-76.165555560000001,1975582.654536,4648473.503544
"87","29030160",FLAMENCO,"12",9.969166670000000,-75.400277779999996,2660566.301852,4736948.023513
"88","21030060",SAN ADOLFO,"1345",1.714277780000000,-76.022083330000001,1747718.874630,4663845.122825
"89","21050150",PAEZ PAICOL RADIO,"788",2.458416670000000,-75.758333329999999,1829988.181504,4693351.045485
"90","26160160",MARIA LA,"1480",5.587500000000000,-75.577500000000001,2176034.087014,4714561.587914
"91","21185040",AEROPUERTO SANTIAGO VILA,"305",4.275444440000000,-74.798000000000002,2030667.685820,4800527.914790
"92","26175030",NACIONAL GRANJA LA,"1153",5.717333330000000,-75.690916669999993,2190452.164429,4702059.108549
"93","26180180",SONSON,"2180",5.715250000000000,-75.294499999999999,2190031.316975,4745974.992494
"94","23190110",LIBANO EL,"164",7.838055560000000,-73.428055560000004,2424121.577708,4952828.655513
"95","21030050",GUADALUPE,"893",2.026250000000000,-75.775361110000006,1782186.807433,4691365.879886
"96","21170030",MAPORITA LA DC HACIENDA,"311",3.947222220000000,-74.856888889999993,1994398.473521,4793908.135969
"97","23085030",ALEJANDRIA,"1712",6.376250000000000,-75.143388889999997,2263056.338200,4763000.650479
"98","26230110",SAN ANDRES,"1600",6.909833330000000,-75.669861109999999,2322352.322131,4705068.521121
"99","26020320",TERMALES PILIMBALA,"3482",2.363083330000000,-76.404055560000003,1819602.270667,4621461.757155
"100","21050290",TESALIA 2,"825",2.491277780000000,-75.728499999999997,1833616.246790,4696677.681987
"101","23190210",MAGARA,"89",7.593333330000000,-73.681388889999994,2397113.353812,4924867.324045
"102","23180080",ELOY VALENZUELA,"90",7.489444440000000,-73.678333330000001,2385631.808919,4925186.417666
"103","24035120",SURBATA BONZA,"2485",5.802444440000000,-73.074472220000004,2199159.847756,4991758.580081
"104","26140120",MISTRATO,"1483",5.294250000000000,-75.872722220000000,2143742.526697,4681687.929293
"105","21201320",UNION LA,"2640",4.509361110000000,-74.268805560000004,2056402.798202,4859292.726190
"106","21201650",SANTA ROSITA,"2750",5.115916670000000,-73.757388890000001,2123350.280445,4916086.252460
"107","21010200",SULCHOMISCO,"1800",1.850305560000000,-76.317555560000002,1762828.021540,4630970.747545
"108","21110330",POLONIA,"429",3.187388890000000,-75.218416669999996,1910479.810651,4753562.109554
"109","27030140",PALMA DE COCO LA,"100",7.236111110000000,-74.807944440000000,2357976.366889,4800460.322970
"110","21201230",ENMANUEL D ALZON,"2520",4.701125000000000,-74.070305559999994,2077559.696353,4881340.436998
"111","25020030",GUACAMAYO,"30",8.727222220000000,-74.512222219999998,2522691.369448,4833711.003144
"112","21050190",MEREMBERG HACIENDA,"2220",2.218055560000000,-76.117361110000004,1803479.702004,4653340.909135
"113","22015020",RELATOR,"1160",3.529138890000000,-75.631416669999993,1948387.591998,4707755.066855
"114","26230220",OCULTA LA,"2300",6.779388890000000,-75.638583330000003,2307903.758605,4708446.836561
"115","21110160",MESA REDONDA,"500",3.118472220000000,-75.199027779999994,1902855.028180,4755700.938123
"116","21080030",YAGUARA,"600",2.669611110000000,-75.528861109999994,1853294.889362,4718925.422284
"117","26040310",RIO PALO,"19",3.070611110000000,-76.377833330000001,1897905.042412,4624600.222006
